기술 명	기술 설명	스킬레벨	스킬타입		세부스킬타입	나이트클래스전용	아처클래스전용	메이지클래스전용	버서커클래스전용	헌터클래스전용	소서러클래스전용	스워시버클러클래스전용	레인저클래스전용	엘리멘탈리스트클래스전용	슬레이어클래스전용	스카우터클래스전용	서머너클래스전용	시온클래스전용	요구레벨	요구스킬포인트	요구 히로익 포인트	요구 카리스마 포인트	기본 공격포인트	마법 공격포인트	물 공격포인트	공기 공격포인트	땅 공격포인트	불 공격포인트	독 공격포인트	얼음 공격포인트	번개 공격포인트	히로익 공격 포인트		기본 공격%	마법 공격%	물 공격%	공기 공격%	땅 공격%	불 공격%	독 공격%	얼음 공격%	번개 공격%	히로익 공격%			소모생명	소모마나		소모화살	생명감소		시전시간	재시전시간		지속시간	인터벌		시전거리	원형범위	직선범위	직선폭	지속공격	마법 지속공격포인트	물 지속공격포인트	공기 지속공격포인트	땅 지속공격포인트	불 지속공격포인트	독 지속공격포인트	얼음 지속공격포인트	번개 지속공격포인트	히로익 지속공격포인트	지속공격%	마법 지속공격%	물 지속공격%	공기 지속공격%	땅 지속공격%	불 지속공격%	독 지속공격%	얼음 지속공격%	번개 지속공격%	밀림거리	공격반사									내구도 하락량%	영향받는 아이템수	영향 받는 마리수	소환수 레벨 증가	크리티컬 발동 확률	스턴 성공 확률	방패블럭	스턴타임	스턴 생성 간격	크리티컬	스킬사정거리	스킬성공률	공격변환생명	공격변환마나	생명증가포인트	마나증가포인트	1차지공격	2차지공격	3차지공격	어그로돌생명	지속공격간격	마나소모감소	시전시간감소	스킬레벨증가	마나변환생명	데스공격	시간 변경	아이템 부위	비용	업그레이드비용				소환수			추가지속시간	타겟	최대수	최대소환마리수	보너스경험치	보너스겔드	보너스드롭율	피해 흡수율	추가 기본 공격포인트	추가 마법 공격포인트	추가 물 공격포인트	추가 공기 공격포인트	추가 땅 공격포인트	추가 불 공격포인트	추가 독 공격포인트	추가 얼음 공격포인트	추가 번개 공격포인트		추가 기본 공격%	추가 마법 공격%	추가 물 공격%	추가 공기 공격%	추가 땅 공격%	추가 불 공격%	추가 독 공격%	추가 얼음 공격%	추가 번개 공격%		FACTOR_POINT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	블럭률	스킬블럭	최소 히로익 공격	최대 히로익 공격	히로익 방어력	근접 히로익 저항력	원거리 히로익 저항력	마법 히로익 저항력	FACTOR_PERCENT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	블럭률	스킬블럭	물리 방어력 무시	속성 저항력 무시	크리티컬 저항력	desc
<소환>라쿤델 Lv 6																																																																																																																																																																																																																																																																														
라쿤델 Lv 7																																																																																																																																																																																																																																																																														펫라쿤델\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>라쿤델 Lv 7																																																																																																																																																																																																																																																																														
라쿤델 Lv 8																																																																																																																																																																																																																																																																														펫라쿤델\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>라쿤델 Lv 8																																																																																																																																																																																																																																																																														
라쿤델 Lv 9																																																																																																																																																																																																																																																																														펫라쿤델\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>라쿤델 Lv 9																																																																																																																																																																																																																																																																														
라쿤델 Lv 10																																																																																																																																																																																																																																																																														펫라쿤델\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>라쿤델 Lv 10																																																																																																																																																																																																																																																																														
래티맨 Lv 1																																																																																																																																																																																																																																																																														펫래티맨\n물리방어력무시\n속성방어력무시확률증가\n모든스탯증가
<소환>래티맨 Lv 1																																																																																																																																																																																																																																																																														
래티맨 Lv 2																																																																																																																																																																																																																																																																														펫래티맨\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>래티맨 Lv 2																																																																																																																																																																																																																																																																														
래티맨 Lv 3																																																																																																																																																																																																																																																																														펫래티맨\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>래티맨 Lv 3																																																																																																																																																																																																																																																																														
래티맨 Lv 4																																																																																																																																																																																																																																																																														펫래티맨\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>래티맨 Lv 4																																																																																																																																																																																																																																																																														
래티맨 Lv 5																																																																																																																																																																																																																																																																														펫래티맨\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>래티맨 Lv 5																																																																																																																																																																																																																																																																														
래티맨 Lv 6																																																																																																																																																																																																																																																																														펫래티맨\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>래티맨 Lv 6																																																																																																																																																																																																																																																																														
래티맨 Lv 7																																																																																																																																																																																																																																																																														펫래티맨\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>래티맨 Lv 7																																																																																																																																																																																																																																																																														
래티맨 Lv 8																																																																																																																																																																																																																																																																														펫래티맨\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>래티맨 Lv 8																																																																																																																																																																																																																																																																														
래티맨 Lv 9																																																																																																																																																																																																																																																																														펫래티맨\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>래티맨 Lv 9																																																																																																																																																																																																																																																																														
래티맨 Lv 10																																																																																																																																																																																																																																																																														펫래티맨\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>래티맨 Lv 10																																																																																																																																																																																																																																																																														
루 Lv 1																																																																																																																																																																																																																																																																														펫루\n물리방어력무시\n속성방어력무시확률증가\n모든스탯증가
<소환>루 Lv 1																																																																																																																																																																																																																																																																														
루 Lv 2																																																																																																																																																																																																																																																																														펫루\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>루 Lv 2																																																																																																																																																																																																																																																																														
루 Lv 3																																																																																																																																																																																																																																																																														펫루\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>루 Lv 3																																																																																																																																																																																																																																																																														
루 Lv 4																																																																																																																																																																																																																																																																														펫루\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>루 Lv 4																																																																																																																																																																																																																																																																														
루 Lv 5																																																																																																																																																																																																																																																																														펫루\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>루 Lv 5																																																																																																																																																																																																																																																																														
루 Lv 6																																																																																																																																																																																																																																																																														펫루\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>루 Lv 6																																																																																																																																																																																																																																																																														
루 Lv 7																																																																																																																																																																																																																																																																														펫루\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>루 Lv 7																																																																																																																																																																																																																																																																														
루 Lv 8																																																																																																																																																																																																																																																																														펫루\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>루 Lv 8																																																																																																																																																																																																																																																																														
루 Lv 9																																																																																																																																																																																																																																																																														펫루\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>루 Lv 9																																																																																																																																																																																																																																																																														
루 Lv 10																																																																																																																																																																																																																																																																														펫루\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>루 Lv 10																																																																																																																																																																																																																																																																														
밀피 Lv 1																																																																																																																																																																																																																																																																														펫밀피\n물리방어력무시\n속성방어력무시확률증가\n모든스탯증가
<소환>밀피 Lv 1																																																																																																																																																																																																																																																																														
밀피 Lv 2																																																																																																																																																																																																																																																																														펫밀피\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>밀피 Lv 2																																																																																																																																																																																																																																																																														
밀피 Lv 3																																																																																																																																																																																																																																																																														펫밀피\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>밀피 Lv 3																																																																																																																																																																																																																																																																														
밀피 Lv 4																																																																																																																																																																																																																																																																														펫밀피\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>밀피 Lv 4																																																																																																																																																																																																																																																																														
밀피 Lv 5																																																																																																																																																																																																																																																																														펫밀피\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>밀피 Lv 5																																																																																																																																																																																																																																																																														
밀피 Lv 6																																																																																																																																																																																																																																																																														펫밀피\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>밀피 Lv 6																																																																																																																																																																																																																																																																														
밀피 Lv 7																																																																																																																																																																																																																																																																														펫밀피\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>밀피 Lv 7																																																																																																																																																																																																																																																																														
밀피 Lv 8																																																																																																																																																																																																																																																																														펫밀피\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>밀피 Lv 8																																																																																																																																																																																																																																																																														
밀피 Lv 9																																																																																																																																																																																																																																																																														펫밀피\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>밀피 Lv 9																																																																																																																																																																																																																																																																														
밀피 Lv 10																																																																																																																																																																																																																																																																														펫밀피\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>밀피 Lv 10																																																																																																																																																																																																																																																																														
블룸 Lv 1																																																																																																																																																																																																																																																																														펫블룸\n물리방어력무시\n속성방어력무시확률증가\n모든스탯증가
<소환>블룸 Lv 1																																																																																																																																																																																																																																																																														
블룸 Lv 2																																																																																																																																																																																																																																																																														펫블룸\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>블룸 Lv 2																																																																																																																																																																																																																																																																														
블룸 Lv 3																																																																																																																																																																																																																																																																														펫블룸\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>블룸 Lv 3																																																																																																																																																																																																																																																																														
블룸 Lv 4																																																																																																																																																																																																																																																																														펫블룸\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>블룸 Lv 4																																																																																																																																																																																																																																																																														
블룸 Lv 5																																																																																																																																																																																																																																																																														펫블룸\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>블룸 Lv 5																																																																																																																																																																																																																																																																														
블룸 Lv 6																																																																																																																																																																																																																																																																														펫블룸\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>블룸 Lv 6																																																																																																																																																																																																																																																																														
블룸 Lv 7																																																																																																																																																																																																																																																																														펫블룸\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>블룸 Lv 7																																																																																																																																																																																																																																																																														
블룸 Lv 8																																																																																																																																																																																																																																																																														펫블룸\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>블룸 Lv 8																																																																																																																																																																																																																																																																														
블룸 Lv 9																																																																																																																																																																																																																																																																														펫블룸\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>블룸 Lv 9																																																																																																																																																																																																																																																																														
블룸 Lv 10																																																																																																																																																																																																																																																																														펫블룸\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>블룸 Lv 10																																																																																																																																																																																																																																																																														
테풀 Lv 1																																																																																																																																																																																																																																																																														펫테풀\n물리방어력무시\n속성방어력무시확률증가\n모든스탯증가
<소환>테풀 Lv 1																																																																																																																																																																																																																																																																														
테풀 Lv 2																																																																																																																																																																																																																																																																														펫테풀\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>테풀 Lv 2																																																																																																																																																																																																																																																																														
테풀 Lv 3																																																																																																																																																																																																																																																																														펫테풀\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>테풀 Lv 3																																																																																																																																																																																																																																																																														
테풀 Lv 4																																																																																																																																																																																																																																																																														펫테풀\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>테풀 Lv 4																																																																																																																																																																																																																																																																														
테풀 Lv 5																																																																																																																																																																																																																																																																														펫테풀\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>테풀 Lv 5																																																																																																																																																																																																																																																																														
테풀 Lv 6																																																																																																																																																																																																																																																																														펫테풀\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>테풀 Lv 6																																																																																																																																																																																																																																																																														
테풀 Lv 7																																																																																																																																																																																																																																																																														펫테풀\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>테풀 Lv 7																																																																																																																																																																																																																																																																														
테풀 Lv 8																																																																																																																																																																																																																																																																														펫테풀\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>테풀 Lv 8																																																																																																																																																																																																																																																																														
테풀 Lv 9																																																																																																																																																																																																																																																																														펫테풀\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>테풀 Lv 9																																																																																																																																																																																																																																																																														
테풀 Lv 10																																																																																																																																																																																																																																																																														펫테풀\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>테풀 Lv 10																																																																																																																																																																																																																																																																														
펙키 Lv 1																																																																																																																																																																																																																																																																														펫펙키\n물리방어력무시\n속성방어력무시확률증가\n모든스탯증가
<소환>펙키 Lv 1																																																																																																																																																																																																																																																																														
펙키 Lv 2																																																																																																																																																																																																																																																																														펫펙키\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>펙키 Lv 2																																																																																																																																																																																																																																																																														
펙키 Lv 3																																																																																																																																																																																																																																																																														펫펙키\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>펙키 Lv 3																																																																																																																																																																																																																																																																														
펙키 Lv 4																																																																																																																																																																																																																																																																														펫펙키\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>펙키 Lv 4																																																																																																																																																																																																																																																																														
펙키 Lv 5																																																																																																																																																																																																																																																																														펫펙키\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>펙키 Lv 5																																																																																																																																																																																																																																																																														
펙키 Lv 6																																																																																																																																																																																																																																																																														펫펙키\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>펙키 Lv 6																																																																																																																																																																																																																																																																														
펙키 Lv 7																																																																																																																																																																																																																																																																														펫펙키\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>펙키 Lv 7																																																																																																																																																																																																																																																																														
펙키 Lv 8																																																																																																																																																																																																																																																																														펫펙키\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>펙키 Lv 8																																																																																																																																																																																																																																																																														
펙키 Lv 9																																																																																																																																																																																																																																																																														펫펙키\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>펙키 Lv 9																																																																																																																																																																																																																																																																														
펙키 Lv 10																																																																																																																																																																																																																																																																														펫펙키\n치명타방어력증가\n물리방어력무시\n속성방어력무시확률증가\n이동속도및모든스탯증가
<소환>펙키 Lv 10																																																																																																																																																																																																																																																																														
천운의 부적																																																																																																																																																																																																																																																																														드롭겔드량20%증가\n일반아이템드롭율50%증가\n회귀아이템드롭율2배증가
